Day,Location,Min Delay,Bound
Tuesday,DUNDAS AND EDNA (DUNDA,5,E
Tuesday,KING AND JOE SHUSTER W,16,W
Tuesday,QUEEN AND COXWELL,8,W
Tuesday,LANSDOWNE AND DUNDAS,8,W
Tuesday,DUNDAS AND HURON,20,W
Tuesday,BATHURST AND NIAGARA,31,S
Tuesday,PARLIAMENT AND KING,10,N
Tuesday,390 DUFFERIN,8,N
Tuesday,ST CLAIR AND TWEEDSMUI,10,W
Wednesday,QUEENS QUAY/FERRY DOCK,15,W
Wednesday,QUEENS QUAY FERRY DOCK,15,S
Wednesday,QUEEN AND DUFFERIN,6,N
Wednesday,EXHIBITION LOOP,9,E
Wednesday,HOWARD PARK AND INDIAN,7,N
Wednesday,DUNDAS WEST STATION,7,W
Wednesday,UPPER GERRARD AND WOOD,9,W
Wednesday,WILSON GARAGE,5,W
Wednesday,KING AND BATHURST,60,W
Wednesday,KING AND TECUMSETH,8,E
Wednesday,DUFFERIN AND KING,8,E
Wednesday,BROADVIEW AND QUEEN,25,E
Wednesday,QUEENSWAY AND RONCESVA,8,E
Wednesday,SPADINA AND WILCOX,12,N
Wednesday,THE QUEENSWAY AND COLB,31,N
Wednesday,KING AND JARVIS,7,E
Wednesday,QUEEN AND DUFFERIN,10,E
Wednesday,QUEEN AND BROADVIEW,11,E
Wednesday,LAKESHORE AND MARINE P,10,E
Wednesday,EDNA AND DUNDAS,5,E
Wednesday,LONG BRANCH LOOP,10,W
Wednesday,QUEEN AND LOGAN,33,E
Wednesday,SPADINA AND KING,9,S
Wednesday,BAY AND DUNDAS,10,N
Thursday,QUEEN AND KING,30,E
Thursday,QUEEN AND LESLIE,14,E
Thursday,ST CLAIR AND OAKWOOD,5,W
Thursday,QUEEN AND NEVILLE PARK,12,E
Thursday,QUEEN AND WOODFIELD,17,E
Thursday,KING AND SACKVILLE,5,W
Thursday,DUFFERIN AND EGLINTON,8,S
Thursday,BATHURST STATION,8,S
Thursday,DUNDAS AND DUFFERIN,56,W
Thursday,LACKSHRE AND MARINE PA,8,E
Thursday,DISTILLERY LOOP,9,W
Thursday,DUNDAS AND BATHURST,31,W
Thursday,KING AND TECUMSEH,10,E
Thursday,SPADINA AND KING,9,N
Thursday,SPADINA AND RICHMOND,14,S
Thursday,ST. CLAIR STATION,25,E
Thursday,SPADINA AND SUSSEX,8,N
Thursday,HOWARD PARK AND RONCES,10,W
Thursday,GERRARD AND PRUST,20,W
Friday,LAKESHORE AND THIRTY S,30,W
Friday,LESLIE AND QUEEN,12,N
Friday,DUNDAS AND BLOOR,15,N
Friday,QUEEN AND DUFFERIN,4,W
Friday,LAKE SHORE AND BROWN'S,5,W
Friday,DUNDAS AND SPADINA,17,W
Friday,COLLEGE AND DUFFERIN,28,W
Friday,LAKESHORE AND NORRIS,8,N
Friday,QUEENS QUAY AND HARBOU,9,W
Friday,DUNDAS AND BLOOR,7,E
Friday,SUMAC AND KING,5,W
Friday,ST CLAIR WEST STATION,10,E
Friday,BATHURST AND QUEEN,7,N
Friday,QUEEN AND WOODFIELD,10,W
Friday,QUEEN AND GREENWOOD,5,E
Friday,QUEEN AND ALTON,25,E
Friday,EXHIBITION LOOP,7,N
Friday,QUEEN AND DUFFERIN,8,E
Friday,DUFFERIN AND QUEEN,6,E
Friday,QUEEN AND PALMERSTON,31,W
Friday,HOWARD PARK AND RONCES,6,E
Friday,UNION STATION,10,N
Friday,LONG BRANCH LOOP,6,E
Friday,QUEEN AND OSSINGTON,31,E
Friday,FLEET LOOP,10,S
Friday,QUEEN AND NIAGARA,8,W
Friday,QUEEN AND DUFFERIN,8,E
Friday,DUFFERIN AND KING,10,W
Friday,KING AND PETER,12,W
Friday,BATHURST AND FLEET,10,W
Friday,DUNDAS WEST STATION,10,W
Friday,DUNDAS AND LANSDOWNE,9,E
Friday,DUNDAS WEST STATION,9,W
Saturday,SPADINA STATION,9,S
Saturday,DUNDAS WEST STATION,17,E
Saturday,GERRARD AND BROADVIEW,30,E
Saturday,LAKE SHORE AND ISLINGT,30,W
Saturday,KING AND SHAW,24,W
Saturday,QUEEN AND RONCESVALLES,10,E
Saturday,2 EDNA AVE,8,E
Saturday,QUEEN AND JOHN,6,W
Saturday,KING AND SPADINA,10,W
Saturday,LAKE SHORE AND 37TH,45,W
Saturday,EARLSCOURT LOOP,35,W
Saturday,PARLIAMENT AND GERRARD,11,N
Saturday,KING AND TECUMSETH,10,E
Saturday,COLLEGE AND DUFFERIN,13,E
Saturday,CHARLOTTE LOOP,10,W
Saturday,MAIN STREET STATION,14,W
Saturday,DUNDAS AND PARLIAMENT,6,E
Saturday,LAKESHORE AND FIFTH ST,10,E
Saturday,QUEEN AND RIVER,37,W
Saturday,QUEEN AND LOCKWOOD,10,W
Saturday,HIGH PARK LOOP,10,E
Saturday,QUEEN AND SPADINA,10,W
Saturday,QUEEN AND YONGE,15,W
Saturday,KING AND SPADINA,33,E
Sunday,KING AND BATHURST,32,W
Sunday,KING AND BATHURST,25,W
Sunday,KING AND SPADINA,13,W
Sunday,SPADINA AND KING,45,N
Sunday,KING AND SUMACH,15,W
Sunday,QUEEN AND DUFFERIN,15,W
Sunday,QUEEN AND DUFFERIN,7,W
Sunday,ST CLAIR AND KEELE/WES,14,E
Sunday,QUEEN AND UNIVERSITY,7,W
Sunday,DUFFERIN AND QUEEN,7,E
Sunday,HOWARD PARK AND INDIAN,17,E
Sunday,COLLEGE AND EUCLID,23,W
Sunday,SPADINA STATION,8,S
Sunday,SPADINA AND QUEENS QUA,16,S
Sunday,CHERRY AND FRONT,25,E
Sunday,SPADINA AND DUNDAS,10,S
Sunday,MCCAUL AND QUEEN,10,N
Monday,ST CLAIR AND EARLSCOUR,6,W
Monday,DUNDAS AND ST PATRICK,8,W
Monday,QUEENS QUAY AND REES S,10,E
Monday,U,24,E
Monday,LAKESHORE AND ELEVENTH,7,W
Monday,QUEEN AND WINEVA,6,E
Monday,PEEL STREET AND GLADST,8,E
Monday,DUNDAS AND MARKHAM,14,E
Monday,QUEEN AND GLADSTONE,10,W
Monday,BAY AND QUEEN,10,W
Monday,FIFTH AND LAKESHORE,8,W
Monday,SPADINA AND BREMNER,10,N
Monday,SPADINA STATION,13,N
Monday,LAKESHORE AND SHORE BR,10,W
Monday,ST CLAIR AND LANSDOWNE,14,W
Monday,QUEEN AND CRAVEN,18,W
Monday,QUEEN AND BATHURST,15,W
Tuesday,SPADINA AND COLLEGE,9,E
Tuesday,QUEEN AND JAMESON,7,E
Tuesday,LAKESHORE AND PARKLAWN,7,W
Tuesday,QUEEN AND BOOTH,11,E
Tuesday,PARLIAMENT AND KING,4,N
Tuesday,SPADINA STATION,9,N
Tuesday,QUEEN AND NOBLE,15,W
Tuesday,BINGHAM LOOP,9,W
Tuesday,DUNDAS AND JARVIS,8,W
Tuesday,ST CLAIR AND LANSDOWNE,17,W
Tuesday,ST CLAIR AND VAUGHAN,10,W
Tuesday,EDNA AND DUNDAS,5,E
Tuesday,BINGHAM LOOP,10,W
Tuesday,PARKSIDE AND QUEENSWAY,5,W
Tuesday,QUEEN AND YONGE,20,E
Tuesday,BROADVIEW STATION,16,W
Tuesday,SPADINA STATION,32,S
Tuesday,BATHURST AND QUEEN,23,N
Tuesday,KING AND CHURCH,7,E
Tuesday,QUEEN AND WOODFIELD,18,E
Tuesday,HIGH PARK LOOP,10,E
Tuesday,QUEEN AND SPADINA,25,W
Tuesday,CHARLOTTE LOOP,25,W
Tuesday,QUEEN AND GLADSTONE,13,W
Tuesday,EXHIBITION LOOP,10,E
Tuesday,DUNDAS AND YONGE,24,E
Tuesday,CARLTON AND CHURCH,17,W
Tuesday,HOWARD PARK AND RONCES,10,W
Tuesday,DUFFERIN AND QUEEN,10,N
Tuesday,EDNA AND DUNDAS,10,E
Tuesday,LAKESHORE AND ROYAL YO,20,W
Wednesday,BROADVIEW STATION,6,E
Wednesday,WINDERMERE AND THE QUE,15,N
Wednesday,KINGSTON AND QUEEN,31,S
Wednesday,DUNDAS WEST STATION,9,E
Wednesday,BATHURST AND KING,32,S
Wednesday,DUFFERIN GATE LOOP,5,E
Wednesday,BATHURST AND KING,9,S
Wednesday,BATHURST AND KING,9,N
Wednesday,PARLIAMENT AND QUEEN,6,N
Wednesday,DUNDAS AND BEVERLEY,9,W
Wednesday,QUEEN AND GLADSTONE,6,W
Wednesday,ST CLAIR AND GUNN'S RD,6,W
Wednesday,SPADINA AT HARBOARD,45,S
Wednesday,LAKE SHORE AND PARKLAW,9,E
Wednesday,KING AND YONGE,15,W
Wednesday,FLEET LOOP,10,S
Wednesday,MAIN STREET STATION,26,W
Wednesday,544 ADELAIDE ST W,5,E
Wednesday,507 ADELAIDE W,5,E
Wednesday,ST CLAIR AVE W AND SPA,15,E
Wednesday,KINGSTON AND QUEEN,4,E
Wednesday,KING AND BATHURST,8,W
Wednesday,BATHURST AND FLEET,10,S
Wednesday,SPADINA STATION,9,S
Wednesday,KING AND SPADINA,10,E
Thursday,KING AND BATHURST,10,E
Thursday,DUNDAS WEST STATION,15,E
Thursday,COLLEGE AND CONCORD AV,9,E
Thursday,QUEENS QUAY AND DAN LA,7,E
Thursday,DUNDAS AND SHAW,9,E
Thursday,KING AND YONGE,15,E
Thursday,LAKE SHORE AND THIRTY,10,W
Thursday,DUNDAS AND SHAW,9,E
Thursday,QUEEN AND LANSDOWNE,10,W
Thursday,QUEEN AND WOODBINE,44,W
Thursday,WILSON GARAGE,8,S
Thursday,NEVILLE LOOP,6,W
Thursday,LANSDOWNE LOOP,8,W
Thursday,CARLTON AND JARVIS,23,E
Thursday,BATHURST AND COLLEGE,7,N
Thursday,QUEEN AND OSSINGTON,6,W
Thursday,KING AND SHERBOURNE,13,E
Thursday,CHERRY BEACH LOOP,8,S
Thursday,KING AND CLOSE AVENUE,10,E
Thursday,KING AND YONGE,10,E
Thursday,DUNDAS AND YONGE,8,E
Thursday,DUNDAS AND AUGUSTA,27,W
Thursday,UNION STATION,9,N
Friday,QUEEN AND DUFFERIN,20,E
Friday,BATHURST AND NIAGARA,39,S
Friday,BATHURST AND WELLINGTO,9,S
Friday,FLEET AND FORT YORK,53,E
Friday,SPADINA STATION,26,S
Friday,DUFFERIN AND PEEL AV,8,N
Friday,QUEEN AND NEVILLE PARK,6,W
Friday,LAKESHORE AND FIRST,8,W
Friday,BATHURST AND FLEET,24,W
Friday,HOWARD PARK AND RONCES,9,E
Friday,LAKESHORE AND MARINE P,6,E
Friday,SPADINA AND WILLCOCKS,9,S
Friday,ST CLAIR AND DUFFERIN,27,W
Friday,ST CLAIR AND VAUGHAN,14,W
Friday,PARKSIDE AND QUEENSWAY,5,E
Friday,ST CLAIR AND LANSDOWNE,17,E
Friday,WOLSELEY LOOP,4,S
Friday,NEVILLE LOOP,30,W
Friday,KING AND RIVER,13,W
Friday,BAY AND DUNDAS,8,E
Friday,THE QUEENSWAY AND COLB,8,W
Friday,ST CLAIR AND VAUGHAN,13,W
Friday,DUNDAS AND LANSDOWNE,8,W
Friday,LONG BRANCH LOOP,8,E
Friday,KING AND PETER,13,W
Friday,ADELAIDE AND PORTLAND,8,E
Friday,LANDSDOWNE LOOP,8,W
Friday,DUNDAS AND JARVIS,14,W
Friday,SPADINA AND QUEENS QUA,17,S
Friday,KING AND PORTLAND,10,E
Friday,FLEET AND BATHURST,12,E
Friday,DISTILLERY LOOP,10,W
Friday,DUNDAS WEST STATION,10,E
Friday,KING AND SHAW,10,W
Saturday,KING AND PORTLAND,10,W
Saturday,FLEET AND BATHURST,14,E
Saturday,DUNDAS WEST STATION,30,W
Saturday,QUEEN AND KINGSTON,20,E
Saturday,KING AND SUDBURY,10,E
Saturday,BATHURST AND COLLEGE,8,S
Saturday,DUNDAS AND MANNING,6,W
Saturday,DUNDAS AND BATHURST,10,W
Saturday,QUEEN AND SPADINA,6,E
Saturday,KING AND BATHURST,10,E
Saturday,QUEEN AND DUFFERIN,6,E
Saturday,QUEEN AND CHURCH,20,E
Saturday,KING AND YONGE,10,W
Saturday,QUEENS QUAY AND REES,9,W
Saturday,ST CLAIR WEST STATION,9,S
Saturday,QUEEN AND RONCESVALLES,30,W
Saturday,DUNDAS AND TUBMAN AVE,38,W
Saturday,BATHURST AND FLEET,11,E
Saturday,SPADINA AND QUEENS QUA,9,S
Saturday,BROADVIEW AND QUEEN,10,W
Saturday,PARLIAMENT AND GERRARD,39,W
Saturday,BATHURST AND KING,10,N
Saturday,ST CLAIR AVE WEST AND,10,W
Sunday,HOWARD PARK AND INDIAN,10,S
Sunday,QUEEN AND BATHURST,10,W
Sunday,KING AND BATHURST,1,W
Sunday,LESLIE CARHOUSE,5,W
Sunday,DUNDAS AND CHESTNUT,10,N
Sunday,QUEEN AND DUFFERIN,10,E
Sunday,QUEEN AND BATHURST,10,E
Sunday,PARLIAMENT AND DUDAS,10,E
Sunday,194 DOWLING,9,E
Sunday,QUEEN AND TRILLER,20,E
Sunday,RONCESVALLES YARD,7,W
Sunday,DUNDAS WEST STATION,10,E
Sunday,DUNDAS AND LANDSDOWNE,52,E
Sunday,CARLTON AND PARLIAMENT,9,E
Sunday,2236 QUEEN ST E,8,W
Sunday,SPADINA STATION,9,E
Sunday,LONG BRANCH LOOP,9,E
Sunday,QUEEN AND KINGSTON,7,E
Sunday,QUEENSWAY AND SPADINA,9,W
Sunday,HOWARD PARK AND DUNDAS,9,E
Sunday,ST CLAIR WEST STATION,9,E
Sunday,QUEENS QUAY AND SPADIN,9,W
Sunday,QUEENS QUAY AND SPADIN,9,W
Sunday,SPADINA STATION,9,S
Sunday,ST CLAIR STATION,9,W
Sunday,BATHURST STATION,7,S
Sunday,COLLEGE AND BAY,26,W
Sunday,ST CLAIR AND LAUGHTON,11,W
Sunday,KING AND PARLIAMENT,5,E
Sunday,QUEEN AND CAROLL,10,W
Monday,DUFFERIN AND KING,30,N
Monday,DUFFERIN AND KING,20,S
Monday,QUEEN AND DOVERCOURT,20,E
Monday,DUNDAS AND REGENT,9,E
Monday,BATHURST STATION,9,S
Monday,ADELAIDE AND UNIVERSIT,4,E
Monday,QUEEN AND GLADSTONE,6,W
Monday,BATHURST AND FLEET,10,E
Monday,VICTORIA PARK AND KING,10,W
Monday,MAIN STREET STATION,9,W
Monday,QUEEN AND FULLER,9,W
Monday,BATHURST STATION,9,S
Monday,HIGH PARK LOOP,9,E
Monday,QUEEN AND RONCESVALLES,8,W
Monday,ST CLAIR AND LANSDOWN,16,W
Monday,ST CLAIR AND OAKWOOD,12,W
Monday,LANDSDOWN AND DUNDAS,8,N
Monday,UNION STATION,5,N
Monday,ST CLAIUR WEST STATION,13,W
Monday,QUEEN AND PARLIAMENT,8,W
Monday,ST CLAIR AND LANSDOWNE,16,W
Monday,ST CLAIR AND BATHURST,10,W
Monday,LAKESHORE AND BROWN'S,8,W
Monday,DUFFERIN AND QUEEN,8,N
Monday,LOWER GERRARD AND COXW,13,W
Monday,SPADINA AND SUSSEX,9,S
Monday,PARLIAMENT AND KING,5,S
Tuesday,QUEEN AND JONES,20,E
Tuesday,KING AND CHURCH,45,E
Tuesday,QUEEN AND LESLIE,1,E
Tuesday,NEVILLE LOOP,25,W
Tuesday,CONNAUGHT AND QUEEN,6,S
Tuesday,QUEEN AND CARLAW,10,E
Tuesday,QUEEN AND GREENWOOD,22,W
Tuesday,DUNDAS AND PARLIAMENT,8,E
Tuesday,GERRARD AND BROADVIEW,6,W
Tuesday,QUEEN AND UNIVERSITY,27,W
Tuesday,SPADINA STATION,5,S
Tuesday,BROADVIEW STATION,42,W
Tuesday,MAIN STATION,11,W
Tuesday,ST CLAIR AND BATHURST,41,E
Tuesday,QUEEN AND TRILLER,33,W
Tuesday,QUEEN AND TRILLER,23,W
Tuesday,BATHURST AND FLEET,12,E
Wednesday,QUEEN AND SHERBOURNE,9,W
Wednesday,QUEEN AND BAY,5,W
